x,y,z,T,solid
0.066029447,0.074868071,0.0,307.09665,1.0
0.066029447,0.075292178,0.0,307.0967,1.0
0.066029447,0.075716284,0.0,307.09676,1.0
0.066029447,0.076140391,0.0,307.09682,1.0
0.066029447,0.076564498,0.0,307.09689,1.0
0.066029447,0.076988604,0.0,307.09695,1.0
0.066029447,0.077412711,0.0,307.09702,1.0
0.066029447,0.077836818,0.0,307.09709,1.0
0.066455041,0.074868071,0.0,307.09668,1.0
0.066455041,0.075292178,0.0,307.09673,1.0
0.066455041,0.075716284,0.0,307.09679,1.0
0.066455041,0.076140391,0.0,307.09685,1.0
0.066455041,0.076564498,0.0,307.09691,1.0
0.066455041,0.076988604,0.0,307.09698,1.0
0.066455041,0.077412711,0.0,307.09704,1.0
0.066455041,0.077836818,0.0,307.09711,1.0
0.059219947,0.070202898,0.0,307.09606,1.0
0.059219947,0.070627005,0.0,307.09606,1.0
0.059219947,0.071051112,0.0,307.09608,1.0
0.059219947,0.071475218,0.0,307.09609,1.0
0.059219947,0.071899325,0.0,307.09611,1.0
0.059219947,0.072323431,0.0,307.09614,1.0
0.059219947,0.072747538,0.0,307.09617,1.0
0.059219947,0.073171645,0.0,307.09621,1.0
0.059219947,0.073595751,0.0,307.09625,1.0
0.059219947,0.074019858,0.0,307.09629,1.0
0.059645541,0.070202898,0.0,307.09606,1.0
0.059645541,0.070627005,0.0,307.09607,1.0
0.059645541,0.071051112,0.0,307.09608,1.0
0.059645541,0.071475218,0.0,307.09609,1.0
0.059645541,0.071899325,0.0,307.09611,1.0
0.059645541,0.072323431,0.0,307.09614,1.0
0.059645541,0.072747538,0.0,307.09617,1.0
0.059645541,0.073171645,0.0,307.09621,1.0
0.059645541,0.073595751,0.0,307.09625,1.0
0.059645541,0.074019858,0.0,307.09629,1.0
0.060071134,0.070202898,0.0,307.09607,1.0
0.060071134,0.070627005,0.0,307.09607,1.0
0.060071134,0.071051112,0.0,307.09608,1.0
0.060071134,0.071475218,0.0,307.0961,1.0
0.060071134,0.071899325,0.0,307.09612,1.0
0.060071134,0.072323431,0.0,307.09614,1.0
0.060071134,0.072747538,0.0,307.09618,1.0
0.060071134,0.073171645,0.0,307.09621,1.0
0.060071134,0.073595751,0.0,307.09625,1.0
0.060071134,0.074019858,0.0,307.0963,1.0
0.060496728,0.070202898,0.0,307.09607,1.0
0.060496728,0.070627005,0.0,307.09608,1.0
0.060496728,0.071051112,0.0,307.09609,1.0
0.060496728,0.071475218,0.0,307.0961,1.0
0.060496728,0.071899325,0.0,307.09613,1.0
0.060496728,0.072323431,0.0,307.09615,1.0
0.060496728,0.072747538,0.0,307.09618,1.0
0.060496728,0.073171645,0.0,307.09622,1.0
0.060496728,0.073595751,0.0,307.09626,1.0
0.060496728,0.074019858,0.0,307.0963,1.0
0.060922322,0.070202898,0.0,307.09608,1.0
0.060922322,0.070627005,0.0,307.09609,1.0
0.060922322,0.071051112,0.0,307.0961,1.0
0.060922322,0.071475218,0.0,307.09611,1.0
0.060922322,0.071899325,0.0,307.09613,1.0
0.060922322,0.072323431,0.0,307.09616,1.0
0.060922322,0.072747538,0.0,307.09619,1.0
0.060922322,0.073171645,0.0,307.09623,1.0
0.060922322,0.073595751,0.0,307.09627,1.0
0.060922322,0.074019858,0.0,307.09631,1.0
0.061347916,0.070202898,0.0,307.09609,1.0
0.061347916,0.070627005,0.0,307.0961,1.0
0.061347916,0.071051112,0.0,307.09611,1.0
